operator,url,filepath,status
12F,https://arknights.wiki.gg/wiki/Special:FilePath/12F.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\12F.png,EXISTS
Absinthe,https://arknights.wiki.gg/wiki/Special:FilePath/Absinthe.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Absinthe.png,EXISTS
Adnachiel,https://arknights.wiki.gg/wiki/Special:FilePath/Adnachiel.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Adnachiel.png,EXISTS
Akafuyu,https://arknights.wiki.gg/wiki/Special:FilePath/Akafuyu.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Akafuyu.png,EXISTS
Ambriel,https://arknights.wiki.gg/wiki/Special:FilePath/Ambriel.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ambriel.png,EXISTS
Amiya,https://arknights.wiki.gg/wiki/Special:FilePath/Amiya.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Amiya.png,EXISTS
Angelina,https://arknights.wiki.gg/wiki/Special:FilePath/Angelina.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Angelina.png,EXISTS
Ansel,https://arknights.wiki.gg/wiki/Special:FilePath/Ansel.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ansel.png,EXISTS
April,https://arknights.wiki.gg/wiki/Special:FilePath/April.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\April.png,EXISTS
Archetto,https://arknights.wiki.gg/wiki/Special:FilePath/Archetto.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Archetto.png,EXISTS
Arene,https://arknights.wiki.gg/wiki/Special:FilePath/Arene.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Arene.png,EXISTS
Aroma,https://arknights.wiki.gg/wiki/Special:FilePath/Aroma.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Aroma.png,EXISTS
Asbestos,https://arknights.wiki.gg/wiki/Special:FilePath/Asbestos.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Asbestos.png,EXISTS
Ash,https://arknights.wiki.gg/wiki/Special:FilePath/Ash.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ash.png,EXISTS
Ashlock,https://arknights.wiki.gg/wiki/Special:FilePath/Ashlock.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ashlock.png,EXISTS
Astesia,https://arknights.wiki.gg/wiki/Special:FilePath/Astesia.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Astesia.png,EXISTS
Astgenne,https://arknights.wiki.gg/wiki/Special:FilePath/Astgenne.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Astgenne.png,EXISTS
Aurora,https://arknights.wiki.gg/wiki/Special:FilePath/Aurora.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Aurora.png,EXISTS
Ayerscarpe,https://arknights.wiki.gg/wiki/Special:FilePath/Ayerscarpe.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ayerscarpe.png,EXISTS
Bagpipe,https://arknights.wiki.gg/wiki/Special:FilePath/Bagpipe.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Bagpipe.png,EXISTS
Beagle,https://arknights.wiki.gg/wiki/Special:FilePath/Beagle.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Beagle.png,EXISTS
Beanstalk,https://arknights.wiki.gg/wiki/Special:FilePath/Beanstalk.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Beanstalk.png,EXISTS
Beehunter,https://arknights.wiki.gg/wiki/Special:FilePath/Beehunter.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Beehunter.png,EXISTS
Beeswax,https://arknights.wiki.gg/wiki/Special:FilePath/Beeswax.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Beeswax.png,EXISTS
Bena,https://arknights.wiki.gg/wiki/Special:FilePath/Bena.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Bena.png,EXISTS
Bibeak,https://arknights.wiki.gg/wiki/Special:FilePath/Bibeak.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Bibeak.png,EXISTS
Bison,https://arknights.wiki.gg/wiki/Special:FilePath/Bison.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Bison.png,EXISTS
Blaze,https://arknights.wiki.gg/wiki/Special:FilePath/Blaze.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Blaze.png,EXISTS
Blemishine,https://arknights.wiki.gg/wiki/Special:FilePath/Blemishine.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Blemishine.png,EXISTS
Blitz,https://arknights.wiki.gg/wiki/Special:FilePath/Blitz.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Blitz.png,EXISTS
Blue Poison,https://arknights.wiki.gg/wiki/Special:FilePath/Blue_Poison.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Blue Poison.png,EXISTS
Breeze,https://arknights.wiki.gg/wiki/Special:FilePath/Breeze.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Breeze.png,EXISTS
Broca,https://arknights.wiki.gg/wiki/Special:FilePath/Broca.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Broca.png,EXISTS
Bryophyta,https://arknights.wiki.gg/wiki/Special:FilePath/Bryophyta.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Bryophyta.png,EXISTS
Bubble,https://arknights.wiki.gg/wiki/Special:FilePath/Bubble.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Bubble.png,EXISTS
Cantabile,https://arknights.wiki.gg/wiki/Special:FilePath/Cantabile.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Cantabile.png,EXISTS
Cardigan,https://arknights.wiki.gg/wiki/Special:FilePath/Cardigan.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Cardigan.png,EXISTS
Castle-3,https://arknights.wiki.gg/wiki/Special:FilePath/Castle-3.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Castle-3.png,EXISTS
Cement,https://arknights.wiki.gg/wiki/Special:FilePath/Cement.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Cement.png,EXISTS
Ceobe,https://arknights.wiki.gg/wiki/Special:FilePath/Ceobe.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ceobe.png,EXISTS
Ceylon,https://arknights.wiki.gg/wiki/Special:FilePath/Ceylon.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ceylon.png,EXISTS
Chiave,https://arknights.wiki.gg/wiki/Special:FilePath/Chiave.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Chiave.png,EXISTS
Chongyue,https://arknights.wiki.gg/wiki/Special:FilePath/Chongyue.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Chongyue.png,EXISTS
Click,https://arknights.wiki.gg/wiki/Special:FilePath/Click.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Click.png,EXISTS
Cliffheart,https://arknights.wiki.gg/wiki/Special:FilePath/Cliffheart.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Cliffheart.png,EXISTS
Conviction,https://arknights.wiki.gg/wiki/Special:FilePath/Conviction.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Conviction.png,EXISTS
Corroserum,https://arknights.wiki.gg/wiki/Special:FilePath/Corroserum.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Corroserum.png,EXISTS
Courier,https://arknights.wiki.gg/wiki/Special:FilePath/Courier.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Courier.png,EXISTS
Croissant,https://arknights.wiki.gg/wiki/Special:FilePath/Croissant.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Croissant.png,EXISTS
Cuora,https://arknights.wiki.gg/wiki/Special:FilePath/Cuora.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Cuora.png,EXISTS
Cutter,https://arknights.wiki.gg/wiki/Special:FilePath/Cutter.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Cutter.png,EXISTS
Czerny,https://arknights.wiki.gg/wiki/Special:FilePath/Czerny.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Czerny.png,EXISTS
Dagda,https://arknights.wiki.gg/wiki/Special:FilePath/Dagda.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Dagda.png,EXISTS
Deepcolor,https://arknights.wiki.gg/wiki/Special:FilePath/Deepcolor.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Deepcolor.png,EXISTS
Delphine,https://arknights.wiki.gg/wiki/Special:FilePath/Delphine.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Delphine.png,EXISTS
Diamante,https://arknights.wiki.gg/wiki/Special:FilePath/Diamante.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Diamante.png,EXISTS
Dur-nar,https://arknights.wiki.gg/wiki/Special:FilePath/Dur-nar.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Dur-nar.png,EXISTS
Durin,https://arknights.wiki.gg/wiki/Special:FilePath/Durin.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Durin.png,EXISTS
Dusk,https://arknights.wiki.gg/wiki/Special:FilePath/Dusk.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Dusk.png,EXISTS
Earthspirit,https://arknights.wiki.gg/wiki/Special:FilePath/Earthspirit.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Earthspirit.png,EXISTS
Ebenholz,https://arknights.wiki.gg/wiki/Special:FilePath/Ebenholz.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ebenholz.png,EXISTS
Elysium,https://arknights.wiki.gg/wiki/Special:FilePath/Elysium.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Elysium.png,EXISTS
Estelle,https://arknights.wiki.gg/wiki/Special:FilePath/Estelle.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Estelle.png,EXISTS
Ethan,https://arknights.wiki.gg/wiki/Special:FilePath/Ethan.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ethan.png,EXISTS
Eunectes,https://arknights.wiki.gg/wiki/Special:FilePath/Eunectes.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Eunectes.png,EXISTS
Executor,https://arknights.wiki.gg/wiki/Special:FilePath/Executor.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Executor.png,EXISTS
Exusiai,https://arknights.wiki.gg/wiki/Special:FilePath/Exusiai.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Exusiai.png,EXISTS
Eyjafjalla,https://arknights.wiki.gg/wiki/Special:FilePath/Eyjafjalla.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Eyjafjalla.png,EXISTS
FEater,https://arknights.wiki.gg/wiki/Special:FilePath/FEater.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\FEater.png,EXISTS
Fang,https://arknights.wiki.gg/wiki/Special:FilePath/Fang.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Fang.png,EXISTS
Fartooth,https://arknights.wiki.gg/wiki/Special:FilePath/Fartooth.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Fartooth.png,EXISTS
Firewatch,https://arknights.wiki.gg/wiki/Special:FilePath/Firewatch.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Firewatch.png,EXISTS
Firewhistle,https://arknights.wiki.gg/wiki/Special:FilePath/Firewhistle.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Firewhistle.png,EXISTS
Flamebringer,https://arknights.wiki.gg/wiki/Special:FilePath/Flamebringer.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Flamebringer.png,EXISTS
Flametail,https://arknights.wiki.gg/wiki/Special:FilePath/Flametail.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Flametail.png,EXISTS
Flint,https://arknights.wiki.gg/wiki/Special:FilePath/Flint.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Flint.png,EXISTS
Folinic,https://arknights.wiki.gg/wiki/Special:FilePath/Folinic.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Folinic.png,EXISTS
Franka,https://arknights.wiki.gg/wiki/Special:FilePath/Franka.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Franka.png,EXISTS
Friston-3,https://arknights.wiki.gg/wiki/Special:FilePath/Friston-3.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Friston-3.png,EXISTS
Frost,https://arknights.wiki.gg/wiki/Special:FilePath/Frost.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Frost.png,EXISTS
Frostleaf,https://arknights.wiki.gg/wiki/Special:FilePath/Frostleaf.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Frostleaf.png,EXISTS
Gavial,https://arknights.wiki.gg/wiki/Special:FilePath/Gavial.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Gavial.png,EXISTS
Gitano,https://arknights.wiki.gg/wiki/Special:FilePath/Gitano.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Gitano.png,EXISTS
Gladiia,https://arknights.wiki.gg/wiki/Special:FilePath/Gladiia.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Gladiia.png,EXISTS
Glaucus,https://arknights.wiki.gg/wiki/Special:FilePath/Glaucus.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Glaucus.png,EXISTS
Gnosis,https://arknights.wiki.gg/wiki/Special:FilePath/Gnosis.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Gnosis.png,EXISTS
Goldenglow,https://arknights.wiki.gg/wiki/Special:FilePath/Goldenglow.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Goldenglow.png,EXISTS
Grani,https://arknights.wiki.gg/wiki/Special:FilePath/Grani.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Grani.png,EXISTS
Gravel,https://arknights.wiki.gg/wiki/Special:FilePath/Gravel.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Gravel.png,EXISTS
GreyThroat,https://arknights.wiki.gg/wiki/Special:FilePath/GreyThroat.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\GreyThroat.png,EXISTS
Greyy,https://arknights.wiki.gg/wiki/Special:FilePath/Greyy.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Greyy.png,EXISTS
Gummy,https://arknights.wiki.gg/wiki/Special:FilePath/Gummy.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Gummy.png,EXISTS
Harmonie,https://arknights.wiki.gg/wiki/Special:FilePath/Harmonie.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Harmonie.png,EXISTS
Haze,https://arknights.wiki.gg/wiki/Special:FilePath/Haze.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Haze.png,EXISTS
Heavyrain,https://arknights.wiki.gg/wiki/Special:FilePath/Heavyrain.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Heavyrain.png,EXISTS
Heidi,https://arknights.wiki.gg/wiki/Special:FilePath/Heidi.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Heidi.png,EXISTS
Hellagur,https://arknights.wiki.gg/wiki/Special:FilePath/Hellagur.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Hellagur.png,EXISTS
Hibiscus,https://arknights.wiki.gg/wiki/Special:FilePath/Hibiscus.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Hibiscus.png,EXISTS
Highmore,https://arknights.wiki.gg/wiki/Special:FilePath/Highmore.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Highmore.png,EXISTS
Honeyberry,https://arknights.wiki.gg/wiki/Special:FilePath/Honeyberry.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Honeyberry.png,EXISTS
Horn,https://arknights.wiki.gg/wiki/Special:FilePath/Horn.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Horn.png,EXISTS
Hoshiguma,https://arknights.wiki.gg/wiki/Special:FilePath/Hoshiguma.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Hoshiguma.png,EXISTS
Hung,https://arknights.wiki.gg/wiki/Special:FilePath/Hung.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Hung.png,EXISTS
Ifrit,https://arknights.wiki.gg/wiki/Special:FilePath/Ifrit.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ifrit.png,EXISTS
Indigo,https://arknights.wiki.gg/wiki/Special:FilePath/Indigo.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Indigo.png,EXISTS
Indra,https://arknights.wiki.gg/wiki/Special:FilePath/Indra.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Indra.png,EXISTS
Ines,https://arknights.wiki.gg/wiki/Special:FilePath/Ines.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Ines.png,EXISTS
Irene,https://arknights.wiki.gg/wiki/Special:FilePath/Irene.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Irene.png,EXISTS
Iris,https://arknights.wiki.gg/wiki/Special:FilePath/Iris.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Iris.png,EXISTS
Istina,https://arknights.wiki.gg/wiki/Special:FilePath/Istina.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Istina.png,EXISTS
Jackie,https://arknights.wiki.gg/wiki/Special:FilePath/Jackie.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Jackie.png,EXISTS
Jaye,https://arknights.wiki.gg/wiki/Special:FilePath/Jaye.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Jaye.png,EXISTS
Jessica,https://arknights.wiki.gg/wiki/Special:FilePath/Jessica.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Jessica.png,EXISTS
Kafka,https://arknights.wiki.gg/wiki/Special:FilePath/Kafka.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Kafka.png,EXISTS
Kjera,https://arknights.wiki.gg/wiki/Special:FilePath/Kjera.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Kjera.png,EXISTS
Kroos,https://arknights.wiki.gg/wiki/Special:FilePath/Kroos.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Kroos.png,EXISTS
La Pluma,https://arknights.wiki.gg/wiki/Special:FilePath/La_Pluma.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\La Pluma.png,EXISTS
Lancet-2,https://arknights.wiki.gg/wiki/Special:FilePath/Lancet-2.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Lancet-2.png,EXISTS
Lappland,https://arknights.wiki.gg/wiki/Special:FilePath/Lappland.png,C:\Users\mahoe\OneDrive\Documents\Arknights_Tactics\assets\stats\Lappland.png,EXISTS
